ASPARAGACEAE|Asparagus aethiopicus .|Asparagus aethiopicus L.|LC|No||Perennial|Climber|0|3|1|2130|EC, FSA, NC, NW, SA, WC
ASPARAGACEAE|Asparagus cooperi|Asparagus cooperi Baker|LC|No||Perennial|Dwarf shrub, shrub|0.5|2|0|0|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA
ASPARAGACEAE|Asparagus striatus |Asparagus striatus (L.f.) Thunb.|LC|No||Perennial|Dwarf shrub|0.25|1.2|1|1670|EC, FS, FSA, NC, SA, WC
ASPARAGACEAE|Asparagus suaveolens |Asparagus suaveolens Burch.|LC|No||Perennial|Shrub|0.2|1|0|0|B, EC, FS, FSA, G, KZN, L, LIM, M, N, NC, NW, S, SA, WC
APOCYNACEAE|Aspidoglossum ovalifolium |Aspidoglossum ovalifolium (Schltr.) Kupicha|LC|No||Perennial|Herb, succulent|0.05|0.3|30|1740|EC, FS, FSA, G, KZN, LIM, M, NW, S, SA
ASPLENIACEAE|Asplenium adiantum-nigrum|Asplenium adiantum-nigrum L. var. adiantum-nigrum|LC|No||Perennial|Geophyte, herb, lithophyte|0.15|0.37|90|2651|EC, FS, FSA, G, KZN, L, LIM, M, NC, SA, WC
ASPLENIACEAE|Asplenium aethiopicum |Asplenium aethiopicum (Burm.f.) Bech.|LC|No||Perennial|Epiphyte, geophyte, herb, lithophyte|0.05|0.4|40|1300|EC, FSA, KZN, LIM, M, S, SA, WC
ASPLENIACEAE|Asplenium monanthes |Asplenium monanthes L.|LC|No||Perennial|Geophyte, herb, lithophyte|0.2|0.3|300|1951|EC, FS, FSA, KZN, L, LIM, M, SA, WC
ASPLENIACEAE|Asplenium platyneuron |Asplenium platyneuron (L.) Britten, Sterns & Poggenb.|LC|No||Perennial|Geophyte, herb|0.1|0.23|100|2600|EC, FS, FSA, KZN, L, M, SA, WC
ASPLENIACEAE|Asplenium rutifolium |Asplenium rutifolium (P.J.Bergius) Kunze|LC|No||Perennial|Epiphyte, herb, lithophyte|0.11|0.44|15|1760|EC, FSA, KZN, LIM, M, S, SA, WC
