LowerCrownDiameter,UpperCrownDiameter;TransectLength;Code
0.131;0.21;5.1;"G"
0.891;1.44;34.95;"K"
6.101;9.87;239.55;"O"
0.001;0.01;0.15;"A"
3.771;6.1;148.05;"N"
1.441;2.33;56.55;"L"
0.551;0.89;21.6;"J"
0.341;0.55;13.35;"I"
0.021;0.03;0.75;"C"
0.011;0.02;0.45;"B"
0.211;0.34;8.25;"H"
2.331;3.77;91.5;"M"
0.031;0.05;1.2;"D"
0.051;0.08;1.95;"E"
0.081;0.13;3.15;"F"
;;;;""
